country,latitude,longitude
United Arab Emirates,24.0002488,53.9994829
Kazakhstan,48.1012954,66.7780818
France,46.603354,1.8883335
Bhutan,27.549511,90.5119273
Canada,61.0666922,-107.991707
Saudi Arabia,25.6242618,42.3528328
United States of America,39.7837304,-100.445882
Finland,63.2467777,25.9209164
Argentina,-34.9964963,-64.9672817
Sweden,59.6749712,14.5208584
Germany,51.1638175,10.4478313
Republic of Korea,36.638392,127.6961188
Mali,16.3700359,-2.2900239
Indonesia,-2.4833826,117.8902853
Montenegro,42.9868853,19.5180992
Australia,-24.7761086,134.755
Brazil,-10.3333333,-53.2
Morocco,31.1728205,-7.3362482
Romania,45.9852129,24.6859225
China,35.000074,104.999927
European Union,42.6795963,23.3214829
Norway,61.1529386,8.7876653
Japan,36.5748441,139.2394179
Italy,42.6384261,12.674297
Spain,39.3260685,-4.8379791
India,22.3511148,78.6677428
Chile,-31.7613365,-71.3187697
Senegal,14.4750607,-14.4529612
"Tanzania, United Republic of",-6.5247123,35.7878438
Togo,8.7800265,1.0199765
Philippines,12.7503486,122.7312101
Netherlands,52.2434979,5.6343227
Kenya,1.4419683,38.4313975
Sudan,14.5844444,29.4917691
Colombia,4.099917,-72.9088133
Bulgaria,42.6073975,25.4856617
Namibia,-23.2335499,17.3231107
Denmark,55.670249,10.3333283
United Kingdom,54.7023545,-3.2765753
Israel,54.7023545,-3.2765753
Russian Federation,64.6863136,97.7453061
Samoa,-13.7693895,-172.12005
Belgium,50.6402809,4.6667145
Ukraine,49.4871968,31.2718321
Turkey,38.9597594,34.9249653
Mexico,23.6585116,-102.0077097
Bosnia and Herzegovina,44.3053476,17.5961467
Thailand,14.8971921,100.83273
Switzerland,46.7985624,8.2319736
Hungary,47.1817585,19.5060937
Cyprus,34.9823018,33.1451285
Somalia,8.3676771,49.083416
Trinidad and Tobago,10.7466905,-61.0840075
Andorra,42.5407167,1.5732033
Greece,38.9953683,21.9877132
Czechia,49.7439047,15.3381061
Yemen,16.3471243,47.8915271
Costa Rica,10.2735633,-84.0739102
Zimbabwe,-18.4554963,29.7468414
Rwanda,-1.9646631,30.0644358
Pakistan,30.3308401,71.247499
New Zealand,-41.5000831,172.8344077
Uruguay,-32.8755548,-56.0201525
Lithuania,55.3500003,23.7499997
Solomon Islands,-8.7053941,159.1070694
Malaysia,4.5693754,102.2656823
Mongolia,46.8250388,103.8499736
Nigeria,9.6000359,7.9999721
Ghana,8.0300284,-1.0800271
Nicaragua,12.6090157,-85.2936911
Viet Nam,15.9266657,107.9650855
Mozambique,-19.302233,34.9144977
